sample_id,flight_path,tile_name,land_cover_mask_path,total_pixels,known_pixels,nodata_pixels,unknown_pixels,unknown_codes,class_1_water_pixels,class_2_trees_pixels,class_4_flooded_vegetation_pixels,class_5_crops_pixels,class_7_built_area_pixels,class_8_bare_ground_pixels,class_11_rangeland_pixels,class_1_water_pct,class_2_trees_pct,class_4_flooded_vegetation_pct,class_5_crops_pct,class_7_built_area_pct,class_8_bare_ground_pct,class_11_rangeland_pct
fp1_tile_21_54,fp1,tile_21_54.tif,land_cover_mask_tiles/tile_21_54.tif,65536,65536,0,0,,93,34704,0,27527,1742,0,1470,0.14190673828125,52.9541015625,0.0,42.00286865234375,2.6580810546875,0.0,2.2430419921875
fp1_tile_21_55,fp1,tile_21_55.tif,land_cover_mask_tiles/tile_21_55.tif,65536,65536,0,0,,456,37069,0,18082,5291,0,4638,0.69580078125,56.56280517578125,0.0,27.5909423828125,8.07342529296875,0.0,7.0770263671875
fp1_tile_22_52,fp1,tile_22_52.tif,land_cover_mask_tiles/tile_22_52.tif,65536,65536,0,0,,32,35786,0,27721,1736,0,261,0.048828125,54.6051025390625,0.0,42.29888916015625,2.64892578125,0.0,0.39825439453125
fp1_tile_22_53,fp1,tile_22_53.tif,land_cover_mask_tiles/tile_22_53.tif,65536,65536,0,0,,11,37808,0,22039,3265,2,2411,0.01678466796875,57.6904296875,0.0,33.62884521484375,4.98199462890625,0.0030517578125,3.67889404296875
fp1_tile_22_54,fp1,tile_22_54.tif,land_cover_mask_tiles/tile_22_54.tif,65536,65536,0,0,,5,27396,0,27118,1628,5,9384,0.00762939453125,41.802978515625,0.0,41.3787841796875,2.484130859375,0.00762939453125,14.31884765625
fp1_tile_22_55,fp1,tile_22_55.tif,land_cover_mask_tiles/tile_22_55.tif,65536,65536,0,0,,1,42075,0,20789,58,0,2613,0.00152587890625,64.20135498046875,0.0,31.72149658203125,0.0885009765625,0.0,3.98712158203125
fp1_tile_23_52,fp1,tile_23_52.tif,land_cover_mask_tiles/tile_23_52.tif,65536,65536,0,0,,107,30560,0,33746,803,2,318,0.16326904296875,46.630859375,0.0,51.4923095703125,1.22528076171875,0.0030517578125,0.4852294921875
fp1_tile_23_53,fp1,tile_23_53.tif,land_cover_mask_tiles/tile_23_53.tif,65536,65536,0,0,,89,26757,0,32112,2555,23,4000,0.13580322265625,40.82794189453125,0.0,48.9990234375,3.89862060546875,0.03509521484375,6.103515625
fp1_tile_23_54,fp1,tile_23_54.tif,land_cover_mask_tiles/tile_23_54.tif,65536,65536,0,0,,70,36023,0,24424,1309,15,3695,0.1068115234375,54.96673583984375,0.0,37.26806640625,1.99737548828125,0.02288818359375,5.63812255859375
fp1_tile_23_55,fp1,tile_23_55.tif,land_cover_mask_tiles/tile_23_55.tif,65536,65536,0,0,,71,38565,0,24611,1565,3,721,0.10833740234375,58.84552001953125,0.0,37.55340576171875,2.38800048828125,0.00457763671875,1.10015869140625
