split_type,heldout_fp,check,status,detail
strict_no_overlap,fp4,validation_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp4,train_duplicate_tile_name,WARN,73 duplicates
strict_no_overlap,fp4,train_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp4,validation_duplicate_tile_name,WARN,16 duplicates
strict_no_overlap,fp4,validation_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp4,test_duplicate_tile_name,PASS,0 duplicates
strict_no_overlap,fp4,test_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp4,train_uavsar_path_paths_exist,PASS,0/580 missing
strict_no_overlap,fp4,train_flood_mask_path_paths_exist,PASS,0/580 missing
strict_no_overlap,fp4,train_land_cover_mask_path_paths_exist,PASS,0/580 missing
strict_no_overlap,fp4,validation_uavsar_path_paths_exist,PASS,0/145 missing
strict_no_overlap,fp4,validation_flood_mask_path_paths_exist,PASS,0/145 missing
strict_no_overlap,fp4,validation_land_cover_mask_path_paths_exist,PASS,0/145 missing
strict_no_overlap,fp4,test_uavsar_path_paths_exist,PASS,0/181 missing
strict_no_overlap,fp4,test_flood_mask_path_paths_exist,PASS,0/181 missing
strict_no_overlap,fp4,test_land_cover_mask_path_paths_exist,PASS,0/181 missing
strict_no_overlap,fp4,train_mask_validity,INFO,total=580 with_flood=580 no_flood=0 missing=0 pos_px=9673453 neg_px=28337427
strict_no_overlap,fp4,validation_mask_validity,INFO,total=145 with_flood=145 no_flood=0 missing=0 pos_px=2354720 neg_px=7148000
strict_no_overlap,fp4,test_mask_validity,INFO,total=181 with_flood=181 no_flood=0 missing=0 pos_px=2038908 neg_px=9823108
strict_no_overlap,fp5,row_count_train,INFO,658
strict_no_overlap,fp5,row_count_validation,INFO,164
strict_no_overlap,fp5,row_count_test,INFO,160
strict_no_overlap,fp5,test_flight_path_correct,PASS,0 wrong-fp rows in test
strict_no_overlap,fp5,train_no_heldout_fp,PASS,0 leaked rows
strict_no_overlap,fp5,validation_no_heldout_fp,PASS,0 leaked rows
strict_no_overlap,fp5,train_val_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp5,train_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp5,validation_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp5,train_duplicate_tile_name,WARN,133 duplicates
strict_no_overlap,fp5,train_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp5,validation_duplicate_tile_name,WARN,32 duplicates
strict_no_overlap,fp5,validation_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp5,test_duplicate_tile_name,PASS,0 duplicates
strict_no_overlap,fp5,test_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp5,train_uavsar_path_paths_exist,PASS,0/658 missing
strict_no_overlap,fp5,train_flood_mask_path_paths_exist,PASS,0/658 missing
strict_no_overlap,fp5,train_land_cover_mask_path_paths_exist,PASS,0/658 missing
strict_no_overlap,fp5,validation_uavsar_path_paths_exist,PASS,0/164 missing
strict_no_overlap,fp5,validation_flood_mask_path_paths_exist,PASS,0/164 missing
strict_no_overlap,fp5,validation_land_cover_mask_path_paths_exist,PASS,0/164 missing
strict_no_overlap,fp5,test_uavsar_path_paths_exist,PASS,0/160 missing
strict_no_overlap,fp5,test_flood_mask_path_paths_exist,PASS,0/160 missing
strict_no_overlap,fp5,test_land_cover_mask_path_paths_exist,PASS,0/160 missing
strict_no_overlap,fp5,train_mask_validity,INFO,total=658 with_flood=658 no_flood=0 missing=0 pos_px=9731179 neg_px=33391509
strict_no_overlap,fp5,validation_mask_validity,INFO,total=164 with_flood=164 no_flood=0 missing=0 pos_px=2860475 neg_px=7887429
strict_no_overlap,fp5,test_mask_validity,INFO,total=160 with_flood=160 no_flood=0 missing=0 pos_px=2408737 neg_px=8077023
strict_no_overlap,fp6,row_count_train,INFO,602
strict_no_overlap,fp6,row_count_validation,INFO,150
strict_no_overlap,fp6,row_count_test,INFO,170
strict_no_overlap,fp6,test_flight_path_correct,PASS,0 wrong-fp rows in test
strict_no_overlap,fp6,train_no_heldout_fp,PASS,0 leaked rows
strict_no_overlap,fp6,validation_no_heldout_fp,PASS,0 leaked rows
strict_no_overlap,fp6,train_val_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp6,train_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp6,validation_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp6,train_duplicate_tile_name,WARN,89 duplicates
strict_no_overlap,fp6,train_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp6,validation_duplicate_tile_name,WARN,16 duplicates
strict_no_overlap,fp6,validation_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp6,test_duplicate_tile_name,PASS,0 duplicates
strict_no_overlap,fp6,test_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp6,train_uavsar_path_paths_exist,PASS,0/602 missing
strict_no_overlap,fp6,train_flood_mask_path_paths_exist,PASS,0/602 missing
strict_no_overlap,fp6,train_land_cover_mask_path_paths_exist,PASS,0/602 missing
strict_no_overlap,fp6,validation_uavsar_path_paths_exist,PASS,0/150 missing
strict_no_overlap,fp6,validation_flood_mask_path_paths_exist,PASS,0/150 missing
strict_no_overlap,fp6,validation_land_cover_mask_path_paths_exist,PASS,0/150 missing
strict_no_overlap,fp6,test_uavsar_path_paths_exist,PASS,0/170 missing
strict_no_overlap,fp6,test_flood_mask_path_paths_exist,PASS,0/170 missing
strict_no_overlap,fp6,test_land_cover_mask_path_paths_exist,PASS,0/170 missing
strict_no_overlap,fp6,train_mask_validity,INFO,total=602 with_flood=602 no_flood=0 missing=0 pos_px=8273183 neg_px=31179489
strict_no_overlap,fp6,validation_mask_validity,INFO,total=150 with_flood=150 no_flood=0 missing=0 pos_px=2105561 neg_px=7724839
strict_no_overlap,fp6,test_mask_validity,INFO,total=170 with_flood=170 no_flood=0 missing=0 pos_px=2971235 neg_px=8169885
strict_no_overlap,fp7,row_count_train,INFO,759
strict_no_overlap,fp7,row_count_validation,INFO,190
strict_no_overlap,fp7,row_count_test,INFO,117
strict_no_overlap,fp7,test_flight_path_correct,PASS,0 wrong-fp rows in test
strict_no_overlap,fp7,train_no_heldout_fp,PASS,0 leaked rows
strict_no_overlap,fp7,validation_no_heldout_fp,PASS,0 leaked rows
strict_no_overlap,fp7,train_val_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp7,train_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp7,validation_test_tile_name_overlap,PASS,0 overlapping tile_names
strict_no_overlap,fp7,train_duplicate_tile_name,WARN,199 duplicates
strict_no_overlap,fp7,train_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp7,validation_duplicate_tile_name,WARN,50 duplicates
strict_no_overlap,fp7,validation_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp7,test_duplicate_tile_name,PASS,0 duplicates
strict_no_overlap,fp7,test_duplicate_uavsar_path,PASS,0 duplicates
strict_no_overlap,fp7,train_uavsar_path_paths_exist,PASS,0/759 missing
strict_no_overlap,fp7,train_flood_mask_path_paths_exist,PASS,0/759 missing
strict_no_overlap,fp7,train_land_cover_mask_path_paths_exist,PASS,0/759 missing
strict_no_overlap,fp7,validation_uavsar_path_paths_exist,PASS,0/190 missing
strict_no_overlap,fp7,validation_flood_mask_path_paths_exist,PASS,0/190 missing
